"SKU_ID","GCP_Service_Family","SKU_Configuration_Singapore_100K_Users_Per_Week","Region","Unit_Price_USD","Pricing_Unit","Provisioned_Quantity","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_1Yr_CUD_PHP","High_Scale_Workload_Driver_100K_Weekly_Users"
"BOM100K-01","Cloud SQL for PostgreSQL (Primary HA)","Enterprise Edition High Availability Regional db-custom-16-65536 (16 vCPU, 64 GB RAM) Primary OLTP Cluster","asia-southeast1",2288.96,"Cluster/Month",1,2288.96,1625.16,1258.93,133904.16,95071.86,1140862.32,"Handles all write transactions across 315 congressional offices, 100k monthly constituent tickets & 80k visitor passes"
"BOM100K-02","Cloud SQL for PostgreSQL (Read Replica)","Enterprise Edition Zonal Read Replica db-custom-8-32768 (8 vCPU, 32 GB RAM) for Public & BI Read Offload","asia-southeast1",572.24,"Instance/Month",1,572.24,406.29,314.73,33476.04,23767.97,285215.58,"Isolates 100,000 weekly public bill/document searches from internal Secretariat transactional operations"
"BOM100K-03","Cloud SQL Storage & Backups","Regional High-IOPS PD-SSD Storage (600 GB) + Automated PITR Backups (600 GB)","asia-southeast1",0.435,"GB/Month Combined",600,261.00,261.00,261.00,15268.50,15268.50,183222.00,"High-throughput storage supporting 2,500+ concurrent database connections via PgBouncer"
"BOM100K-04","Cloud Run (Auto-Scaling Compute)","Consolidated Microservices Fleet (15 Services scaling 4 to 50 instances; ~52M vCPU-s & 68M GiB-s/mo)","asia-southeast1",1248.00,"Composite Fleet Allocation",1,1248.00,936.00,786.24,73008.00,54756.00,657072.00,"Handles peak Monday-Wednesday Plenary session spikes and nationwide constituent portal traffic"
"BOM100K-05","Memorystore for Redis (Standard HA)","M3 Tier High Availability Cluster (5 GB Capacity, Multi-Zone Failover & Read Replicas)","asia-southeast1",299.30,"Cluster/Month",1,299.30,239.44,191.55,17509.05,14007.24,168086.88,"Caches bill text, public search queries, session JWTs, and live plenary roll-call vote tallies"
"BOM100K-06","Cloud CDN & Global Load Balancing","Global External HTTPS LB + 3,500 GB (3.5 TB/mo) Cloud CDN Edge Egress (Manila/Singapore Edge PoPs)","asia-southeast1",298.00,"Composite CDN & LB",1,298.00,298.00,298.00,17433.00,17433.00,209196.00,"Offloads 85% of public bill PDF downloads, hearing videos & static micro-frontend assets at edge PoPs"
"BOM100K-07","Google Cloud Armor WAF & DDoS","Cloud Armor Managed Protection Plus (WAF Rules, Bot Management, Rate Limiting & L7 DDoS Defense)","asia-southeast1",87.00,"Security Policy Suite",1,87.00,87.00,87.00,5089.50,5089.50,61074.00,"Protects House of Representatives portals against bot scraping and DDoS attacks during high-profile legislation"
"BOM100K-08","Cloud Storage (Standard Hot Tier)","Active Object Storage (7,000 GB / 7 TB - Bills, Constituent Attachments, Audio Masters, LMS Videos)","asia-southeast1",0.023,"GB/Month",7000,161.00,161.00,161.00,9418.50,9418.50,113022.00,"7 TB hot storage serving active legislative sessions and 315 congressional district offices"
"BOM100K-09","Cloud Storage (Nearline & Archive WORM)","5 TB Nearline ($0.013/GB) + 10 TB Archive WORM ($0.0025/GB) for NAP Historical Preservation","asia-southeast1",90.00,"Composite Storage Pool",1,90.00,90.00,90.00,5265.00,5265.00,63180.00,"15 TB combined archival storage with immutable WORM lock for National Archives compliance"
"BOM100K-10","Cloud Speech-to-Text V2 (Chirp 2)","Chirp 2 Taglish Speech Model - Expanded to 500 Audio Hours/Month (30,000 minutes @ $0.016/min)","asia-southeast1",0.016,"Minute",30000,480.00,480.00,480.00,28080.00,28080.00,336960.00,"Covers all Plenary sessions, 60+ Standing Committees, Special Committees & Public Townhall Hearings"
"BOM100K-11","Vertex AI - Gemini 2.5 Flash","High-Volume Constituent Triage (100k tickets/mo), Public Bill Q&A & Multimodal OCR (850M In / 180M Out)","asia-southeast1",235.50,"Monthly Token Pool",1,235.50,235.50,235.50,13776.75,13776.75,165321.00,"Powers instant Taglish bill summaries for citizens and automated routing of 100k monthly constituent requests"
"BOM100K-12","Vertex AI - Gemini 2.5 Pro","Legislative Drafting, Constitutional Diffing & Committee Report Synthesis (60M In / 12M Out tokens)","asia-southeast1",195.00,"Monthly Token Pool",1,195.00,195.00,195.00,11407.50,11407.50,136890.00,"Deep parliamentary reasoning for LOD, Legal Affairs (LAD), and CPBRD researchers"
"BOM100K-13","BigQuery & Datastream CDC","Enterprise Data Lakehouse (2 TB Storage + 15 TB Query Scans w/ BI Engine Caching + Real-Time CDC)","asia-southeast1",136.00,"Analytics Suite",1,136.00,136.00,136.00,7956.00,7956.00,95472.00,"Powers internal executive command wallboards and public Open Legislative Data dashboards"
"BOM100K-14","Observability, Event Mesh & IAM","Cloud Logging (350 GiB/mo), Cloud Pub/Sub Event Bus (500 GB/mo), Secret Manager & Cloud IAP ($0 fee)","asia-southeast1",148.00,"Platform Operations",1,148.00,144.61,144.61,8658.00,8459.69,101516.22,"Enterprise audit logging and high-throughput Pub/Sub event mesh handling 100k weekly users"
"TOTAL","GRAND TOTAL (100K WEEKLY USERS - SHARED SUPER APP)","Complete High-Scale Consolidated Super App Stack in Singapore (asia-southeast1)","asia-southeast1",0.00,"Portfolio Total",1,6500.00,5295.00,4639.56,380250.00,309757.50,3717090.00,"1 USD = 58.50 PHP | Cost per active user at 100k users/week (~430k/mo) is only $0.012/user/mo (₱0.72/user/mo)!"
