"SKU_ID","GCP_Service_Family","SKU_Configuration_Description","Region","Unit_Price_USD","Pricing_Unit","Provisioned_Quantity","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_1Yr_CUD_PHP","Notes_and_Workload_Driver"
"BOM-01","Cloud SQL for PostgreSQL","Enterprise Edition High Availability (Regional Multi-Zone) db-custom-8-32768 (8 vCPU, 32 GB RAM)","asia-southeast1",1144.48,"Instance/Month",1,1144.48,812.58,629.46,66952.08,47535.93,570431.16,"Shared multi-tenant HA relational database for all 14 systems"
"BOM-02","Cloud SQL Storage & Backups","Regional PD-SSD High Availability Storage (280 GB) + Automated PITR Backups (280 GB)","asia-southeast1",0.435,"GB/Month Combined",280,121.80,121.80,121.80,7125.30,7125.30,85503.60,"$0.34/GB PD-SSD HA + $0.095/GB PITR Backup storage"
"BOM-03","Cloud Run (Application Compute)","Consolidated Microservices (14 Modules + API Gateway + Async Workers - Session-Aware Autoscaling)","asia-southeast1",598.00,"Composite Compute Allocation",1,598.00,448.50,376.74,34983.00,26237.25,314847.00,"~22M vCPU-seconds + 28M GiB-seconds per month across 14 microservices"
"BOM-04","Memorystore for Redis","Standard Tier High Availability (M2 - 2 GB Capacity, Multi-Zone Automatic Failover)","asia-southeast1",138.70,"Cluster/Month",1,138.70,110.96,88.77,8113.95,6491.16,77893.92,"Plenary live WebSockets (S01/S12), room conflict locks (S04), session cache"
"BOM-05","Cloud Storage (Standard Tier)","Active Hot Object Storage (Bills, e-Request Attachments, Signed DTRs, Audio Masters, LMS Videos)","asia-southeast1",0.023,"GB/Month",4000,92.00,92.00,92.00,5382.00,5382.00,64584.00,"4 TB active hot storage across operational modules"
"BOM-06","Cloud Storage (Nearline Tier)","Infrequently Accessed Storage (Prior Session Committee Files, Resolved Tickets >90 Days)","asia-southeast1",0.013,"GB/Month",3000,39.00,39.00,39.00,2281.50,2281.50,27378.00,"3 TB Nearline storage with automated 90-day lifecycle transition"
"BOM-07","Cloud Storage (Archive WORM Tier)","National Archives of the Philippines (NAP) Immutable Historical Repository (System 03 RMS)","asia-southeast1",0.0025,"GB/Month",5000,12.50,12.50,12.50,731.25,731.25,8775.00,"5 TB WORM-locked permanent archival storage compliant with NAP circulars"
"BOM-08","Cloud Speech-to-Text V2","Chirp 2 Universal Speech Model (Taglish Plenary & Committee Hearings Transcription)","asia-southeast1",0.016,"Minute",18000,288.00,288.00,288.00,16848.00,16848.00,202176.00,"300 audio hours/month (18,000 mins) across 60+ committees & plenary sessions"
"BOM-09","Vertex AI - Gemini 2.5 Flash","Multimodal Vision OCR (COA Receipts/Housedocs), ADK Triage & Taglish Semantic Search","asia-southeast1",54.00,"Monthly Token Pool (180M In / 45M Out)",1,54.00,54.00,54.00,3159.00,3159.00,37908.00,"$0.15/1M Input ($27) + $0.60/1M Output ($27); replaces legacy Document AI OCR"
"BOM-10","Vertex AI - Gemini 2.5 Pro","Automated Committee Minutes Synthesis, Bill Legal Diffing & Executive Briefs","asia-southeast1",100.00,"Monthly Token Pool (32M In / 6M Out)",1,100.00,100.00,100.00,5850.00,5850.00,70200.00,"$1.25/1M Input ($40) + $10.00/1M Output ($60) for high-reasoning legislative tasks"
"BOM-11","BigQuery & Cloud Datastream","Enterprise Data Lakehouse Storage (1 TB), Analytical Scans (6 TB/mo) & Postgres CDC","asia-southeast1",66.00,"Composite Analytics Workload",1,66.00,66.00,66.00,3861.00,3861.00,46332.00,"System 14 (HRep Insights) dimensional data warehouse & real-time replication"
"BOM-12","Networking, WAF & CDN","Global External HTTPS Load Balancer, Google Cloud Armor WAF & Cloud CDN Egress (500 GB)","asia-southeast1",98.00,"Composite Networking & Security",1,98.00,98.00,98.00,5733.00,5733.00,68796.00,"Single ingress gateway protecting all 14 micro-frontends and APIs"
"BOM-13","Observability, Event Bus & IAM","Cloud Logging (200 GiB/mo), Cloud Pub/Sub Event Mesh, Secret Manager & Cloud IAP","asia-southeast1",92.52,"Composite Platform Operations",1,92.52,46.66,46.66,5412.42,2729.61,32755.32,"First 50 GiB logs free; Cloud IAP zero-trust access included at $0 license fee"
"TOTAL","GRAND TOTAL (ALL 14 SYSTEMS)","Complete UGNAYAN Super App Infrastructure & AI Stack in Singapore (asia-southeast1)","asia-southeast1",0.00,"Portfolio Total",1,2845.00,2290.00,1912.93,166432.50,133965.00,1607580.00,"Exchange Rate: 1 USD = 58.50 PHP | 73.8% savings vs 14 standalone silos"
