"System_ID","System_Name","UGNAYAN_Role_and_Tier","Rollout_Phase","Dedicated_Compute_USD","Dedicated_Database_USD","Dedicated_Storage_USD","AI_Cache_Network_USD","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_On_Demand_PHP","Annual_1Yr_CUD_PHP","Key_Dedicated_Infrastructure_Specs"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Core Management & Inter-Office Mesh","Phase 1 (M1-M6)",68.00,322.40,0.00,320.50,710.90,585.28,510.30,41587.65,34238.88,499051.80,410866.56,"Global HTTPS LB, Cloud Armor WAF, IAP SSO, Master Postgres HA (2vCPU/7.5GB), Redis M2 HA, Pub/Sub Mesh, Gemini Flash Router"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Tier 1: Foundational System","Phase 4 (M19-M24)",68.00,322.40,11.50,68.27,470.17,365.14,306.62,27504.95,21360.69,330059.40,256328.28,"Dedicated Postgres HA (2vCPU/7.5GB), 2x Warm Cloud Run WebSocket Servers, Dedicated Redis M1, 500GB GCS, Gemini 2.5 Pro"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Tier 1: Foundational System","Phase 2 (M7-M12)",45.00,344.15,108.00,18.00,515.15,423.02,372.99,30136.28,24746.67,361635.30,296960.04,"Dedicated Postgres HA + pgvector (2vCPU/7.5GB, 150GB SSD), 3TB Standard + 3TB Nearline GCS, Gemini 2.5 Flash Vision OCR"
"SYS-03","HRep Archives: Records Management System (RMS)","Tier 1: Foundational System","Phase 3 (M13-M18)",22.00,82.98,12.50,0.00,117.48,91.76,77.96,6872.58,5367.96,82470.96,64415.52,"Dedicated Postgres Zonal (1vCPU/3.75GB), 5TB GCS Archive WORM Bucket Lock (NAP Compliant), SHA-256 Preservation Worker"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Tier 1: Foundational System","Phase 2 (M7-M12)",25.00,77.68,1.15,0.00,103.83,77.36,63.20,6074.06,4525.56,72888.66,54306.72,"Dedicated Postgres Zonal (1vCPU/3.75GB), CalDAV & Google Calendar Sync Service, 50GB GCS Hearing Notices"
"SYS-05","HRep e-Request Portal: Online Service Request System","Tier 1: Foundational System","Phase 1 (M1-M6)",55.00,313.70,5.75,6.75,381.20,286.57,235.34,22300.20,16764.35,267602.40,201172.14,"Dedicated Postgres HA (2vCPU/7.5GB), 2x Warm Cloud Run JSONB Form Engine, 250GB GCS Attachments, Gemini Flash ADK Triage"
"SYS-06","Batasan Pass (VAMS): Visitor & Access Management System","Tier 2: Service Platform System","Phase 1 (M1-M6)",60.00,305.00,3.45,26.00,394.45,298.57,246.74,23075.33,17466.35,276903.90,209596.14,"Dedicated Postgres HA (2vCPU/7.5GB), 2x Warm Cloud Run Gate QR Validators, 150GB GCS (30-Day DPA Auto-Purge), SMS/Email Gateway"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Tier 2: Service Platform System","Phase 1 (M1-M6)",38.00,161.20,4.60,9.30,213.10,163.16,136.29,12466.35,9544.86,149596.20,114538.32,"Dedicated Postgres HA (1vCPU/3.75GB), EO 77 / UNDP DSA Per Diem Engine, 200GB CMEK Passport Vault, Gemini Flash Receipt OCR"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Tier 2: Service Platform System","Phase 3 (M13-M18)",45.00,322.40,6.90,0.00,374.30,282.17,232.14,21896.55,16506.95,262758.60,198083.34,"Dedicated Postgres HA (2vCPU/7.5GB), Biometric TCP Listener & Geofence Validator, CSC Form 48 PDF Renderer, 300GB Signed DTRs"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Tier 3: Specialized Dept System","Phase 4 (M19-M24)",25.00,80.33,3.45,0.00,108.78,82.31,68.15,6363.63,4815.14,76363.56,57781.62,"Dedicated Postgres Zonal (1vCPU/3.75GB), OPCR/DPCR/IPCR Calibration Engine, 150GB GCS MOV Portfolios"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Tier 3: Specialized Dept System","Phase 3 (M13-M18)",30.00,82.98,4.60,0.00,117.58,89.86,75.10,6878.43,5256.81,82541.16,63081.72,"Dedicated Postgres Zonal (1vCPU/3.75GB), RFID/Barcode Mobile Scanner API, COA Straight-Line Depreciation Worker, 200GB PAR/ICS"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Tier 3: Specialized Dept System","Phase 2 (M7-M12)",30.00,80.33,65.00,0.00,175.33,147.61,132.85,10256.81,8635.19,123081.66,103622.22,"Dedicated Postgres Zonal (1vCPU/3.75GB), SCORM/xAPI Runtime, 1TB HD Video Courseware + Cloud CDN Streaming Egress"
"SYS-12","Executive Command Center: Live Monitoring Dashboard","Tier 4: Cross-Cutting Intelligence","Phase 3 (M13-M18)",35.00,82.98,0.00,35.77,153.75,117.63,96.54,8994.38,6881.36,107932.50,82576.26,"Dedicated Postgres Zonal Telemetry DB (1vCPU/3.75GB), Dedicated Redis M1 Wallboard Pub/Sub, Speaker/SecGen Live Broadcaster"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Tier 4: Cross-Cutting Intelligence","Phase 1 (M1-M6)",45.00,174.25,34.50,355.50,609.25,557.56,529.85,35641.13,32617.26,427693.50,391407.12,"Dedicated Postgres HA (1vCPU/3.75GB), Chirp 2 Taglish STT (300 hrs/mo = $288), Gemini 2.5 Pro Minutes Synthesis ($67.50), 1.5TB Audio GCS"
"SYS-14","HRep Insights: Enterprise Reporting & Analytics Platform","Tier 4: Cross-Cutting Intelligence","Phase 4 (M19-M24)",25.00,0.00,23.00,81.00,129.00,122.75,119.75,7546.50,7180.88,90558.00,86170.50,"1TB BigQuery Data Lakehouse, 6TB/mo Analytical Query Scans, Cloud Datastream CDC replicating all 14 Postgres DBs, BI Portal"
"TOTAL","GRAND TOTAL (15 FEDERATED SYSTEMS ARCHITECTURE)","1 Super-App Hub + 14 Standalone Systems","Full Portfolio",616.00,3052.53,284.45,921.09,4574.27,3690.75,3048.50,267594.80,215908.88,3211137.54,2590906.50,"Each use-case has its own dedicated Compute, dedicated PostgreSQL DB & dedicated Storage bucket, connected by SYS-00 UGNAYAN Hub"
