"System_Code","System_Name","UGNAYAN_Tier","Rollout_Phase","Primary_GCP_Resources_and_Workload_Drivers","Standalone_Silo_Monthly_USD","UGNAYAN_Shared_Marginal_Monthly_USD","UGNAYAN_Shared_Marginal_Monthly_PHP","UGNAYAN_Shared_Annual_PHP","Monthly_Savings_vs_Standalone_USD","Savings_Percentage"
"CORE","Shared Super App Platform Fabric (IAP, DB HA, Redis HA, LB, PubSub)","Core Infrastructure","Phase 1 (M1-M6)","Cloud SQL Postgres HA (8vCPU/32GB), Redis M2 HA, Global HTTPS LB, Cloud Armor WAF, Cloud IAP, Pub/Sub, Logging",1535.00,1535.00,89797.50,1077570.00,0.00,"0.0% (Base Shared Fabric)"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Tier 1: Foundational","Phase 4 (M19-M24)","Cloud Run WebSocket Plenary Engine (2 warm instances), GCS Standard (500GB bills/journals), Gemini 2.5 Pro diffing",640.00,115.00,6727.50,80730.00,525.00,"82.0%"
"SYS-02","Housedocs Modernization: Enterprise Document Management (DMS)","Tier 1: Foundational","Phase 2 (M7-M12)","Cloud Run Search API, GCS Standard (3TB) + Nearline (3TB), Gemini 2.5 Flash Multimodal OCR (40k pages/mo) + pgvector",710.00,185.00,10822.50,129870.00,525.00,"73.9%"
"SYS-03","HRep Archives: Records Management System (RMS)","Tier 1: Foundational","Phase 3 (M13-M18)","Cloud Run Retention Worker, GCS Archive WORM Tier (5TB permanent NAP records), SHA-256 digital preservation",450.00,38.00,2223.00,26676.00,412.00,"91.6%"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling System","Tier 1: Foundational","Phase 2 (M7-M12)","Cloud Run CalDAV/Google Calendar Sync service, Shared Redis distributed room locks, Email/Push notifications",445.00,35.00,2047.50,24570.00,410.00,"92.1%"
"SYS-05","HRep e-Request Portal: Online Service Request System","Tier 1: Foundational","Phase 1 (M1-M6)","Cloud Run JSONB Dynamic Form Engine, GCS Attachments (250GB), Gemini 2.5 Flash ADK Triage Agent (15k reqs/mo)",580.00,75.00,4387.50,52650.00,505.00,"87.1%"
"SYS-06","Batasan Pass: Visitor & Access Management System (VAMS)","Tier 2: Service Platform","Phase 1 (M1-M6)","Cloud Run Gate QR Validator (high concurrency), GCS Visitor IDs (150GB w/ 30-day DPA purge), SMS/Email pass gateway",595.00,90.00,5265.00,63180.00,505.00,"84.9%"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Tier 2: Service Platform","Phase 1 (M1-M6)","Cloud Run EO 77 / UNDP DSA Per Diem Engine, GCS Encrypted Passport Vault (200GB), Gemini 2.5 Flash COA Receipt OCR",535.00,60.00,3510.00,42120.00,475.00,"88.8%"
"SYS-08","Lingkod-Kawani: HR & Attendance Management System (DTR)","Tier 2: Service Platform","Phase 3 (M13-M18)","Cloud Run Biometric TCP Receiver & Geofence Validator, CSC Form 48 PDF Renderer, GCS Signed DTRs (300GB)",510.00,52.00,3042.00,36504.00,458.00,"89.8%"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Tier 3: Specialized Dept","Phase 4 (M19-M24)","Cloud Run OPCR/IPCR Rating & MFO Calibration Engine, GCS Performance Portfolios (150GB)",435.00,29.00,1696.50,20358.00,406.00,"93.3%"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Tier 3: Specialized Dept","Phase 3 (M13-M18)","Cloud Run RFID/Barcode Mobile Scanner API & COA Depreciation Worker, GCS PAR/ICS Receipts (200GB)",440.00,35.00,2047.50,24570.00,405.00,"92.0%"
"SYS-11","Kongreso Academy: Learning Management System (LMS)","Tier 3: Specialized Dept","Phase 2 (M7-M12)","Cloud Run SCORM/xAPI Runtime & Certificate Signer, GCS + Cloud CDN Video Streaming (1TB HD courseware)",520.00,95.00,5557.50,66690.00,425.00,"81.7%"
"SYS-12","Executive Command Center: Real-Time Monitoring Dashboard","Tier 4: Cross-Cutting AI/BI","Phase 3 (M13-M18)","Cloud Run Low-Latency WebSocket Wallboard Broadcaster, Shared Redis Pub/Sub & Timescale/Postgres Telemetry",460.00,35.00,2047.50,24570.00,425.00,"92.4%"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription System","Tier 4: Cross-Cutting AI/BI","Phase 1 (M1-M6)","Speech-to-Text V2 Chirp 2 Taglish (300 hrs/mo = $288), Gemini 2.5 Pro Minutes Drafting ($62), Cloud Run Audio Diarization, GCS (1.5TB)",920.00,430.00,25155.00,301860.00,490.00,"53.3%"
"SYS-14","HRep Insights: Enterprise Reporting & Analytics Platform","Tier 4: Cross-Cutting AI/BI","Phase 4 (M19-M24)","BigQuery Data Lakehouse (1TB active + 6TB query scans/mo), Cloud Datastream CDC, Looker Studio / Metabase Container",540.00,86.00,5031.00,60372.00,454.00,"84.1%"
"TOTAL","ALL 14 UGNAYAN SYSTEMS (ON-DEMAND LIST PRICE)","Full Portfolio","Months 1-24","Complete Singapore (asia-southeast1) Production Footprint",10850.00,2845.00,166432.50,1997190.00,8005.00,"73.8%"
"TOTAL-CUD","ALL 14 UGNAYAN SYSTEMS (WITH 1-YEAR COMMITTED USE DISCOUNT)","Full Portfolio (1Y CUD)","Recommended GAA Budget","1-Year CUD applied to Cloud SQL HA, Cloud Run, and Memorystore Redis (-19.5% overall portfolio reduction)",10850.00,2290.00,133965.00,1607580.00,8560.00,"78.9%"
