"System_ID","System_Name","Component_Category","GCP_Service","SKU_Configuration_Singapore","Region","Unit_Price_USD","Quantity","Pricing_Unit","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_1Yr_CUD_PHP","Architectural_Role_and_Connection_to_UGNAYAN"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Networking & Security","Global HTTPS Load Balancer + Cloud Armor WAF + Cloud IAP","1 Global External Application LB, Cloud Armor Enterprise Policy, Cloud IAP SSO ($0 license fee)","asia-southeast1",98.00,1,"Composite Ingress",98.00,98.00,98.00,5733.00,5733.00,68796.00,"Single front-door ingress, zero-trust OIDC/IAP authentication & WAF protecting all 14 connected systems"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Application Compute","Cloud Run","Super App Micro-Frontend Shell, API Gateway Router & Universal Action Center (2 warm instances, 2 vCPU, 4 GiB RAM)","asia-southeast1",68.00,1,"Service Allocation",68.00,51.00,42.84,3978.00,2983.50,35802.00,"Hosts the unified HRep portal shell and cross-system approval queue for lawmakers and directors"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Regional Multi-Zone HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) - Master Directory & Audit Ledger","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Stores master Secretariat departments, user RBAC claims, universal action items & SHA-256 audit chain"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","100 GB Regional PD-SSD HA ($0.34/GB) + 100 GB Automated PITR Backups ($0.095/GB)","asia-southeast1",0.435,100,"GB/Month",43.50,43.50,43.50,2544.75,2544.75,30537.00,"High-availability storage for master identity and cross-system cryptographic non-repudiation logs"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","In-Memory Cache & Mesh","Memorystore for Redis Standard HA","M2 Tier High Availability Cluster (2 GB Capacity, Multi-Zone Automatic Failover)","asia-southeast1",138.70,1,"Cluster/Month",138.70,110.96,88.77,8113.95,6491.16,77893.92,"Global SSO session state, distributed rate limiting, and real-time notification badge pub/sub"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Event Bus & Orchestration","Google Cloud Pub/Sub","Enterprise Event Mesh Topics (ugnayan.events.* connecting all 14 systems, ~300 GB message throughput)","asia-southeast1",12.00,1,"Event Bus Allocation",12.00,12.00,12.00,702.00,702.00,8424.00,"Asynchronous backbone enabling inter-office linkages between all 14 independent systems"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Artificial Intelligence","Vertex AI - Gemini 2.5 Flash","Universal Super-App AI Concierge & Cross-System Natural Language Router (30M In / 8M Out tokens)","asia-southeast1",9.30,1,"Token Pool/Month",9.30,9.30,9.30,544.05,544.05,6528.60,"Routes natural language staff queries to the correct underlying system module"
"SYS-00","UGNAYAN Super-App Hub (Control Plane & Gateway)","Observability & Secrets","Cloud Logging, Monitoring & Secret Manager","Centralized Audit Log Sink (150 GiB/mo), Error Reporting & 30 Production Secrets","asia-southeast1",62.50,1,"Operations Suite",62.50,62.50,62.50,3656.25,3656.25,43875.00,"Unified security monitoring and centralized COA/DPA compliance log retention"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Application Compute","Cloud Run","Legislative Workflow Engine & Real-Time Plenary Roll-Call Voting WebSocket Server (2 warm instances, 2 vCPU, 4 GiB)","asia-southeast1",68.00,1,"Service Allocation",68.00,51.00,42.84,3978.00,2983.50,35802.00,"Dedicated legislative microservice; connects to Super-App via Pub/Sub for Speaker/SecGen sign-offs"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Relational Database","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional Multi-Zone HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) - Bills & Plenary DB","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Dedicated isolated database for House Bills, Resolutions, Committee Referrals, Readings & Roll-Call Votes"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","100 GB Regional PD-SSD HA + 100 GB Automated PITR Backups","asia-southeast1",0.435,100,"GB/Month",43.50,43.50,43.50,2544.75,2544.75,30537.00,"Dedicated storage for structured legislative history and vote ledgers"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","In-Memory State","Memorystore for Redis Basic","Dedicated M1 Instance (1 GB) - Sub-Second Plenary Floor Quorum & Live Voting State","asia-southeast1",35.77,1,"Instance/Month",35.77,28.62,22.89,2092.55,1674.27,20091.24,"Ensures zero-latency live voting tallying during 315-member plenary roll calls"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Object Storage","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-lods-bills-prod) - 500 GB Bills, Committee Reports & Engrossed Copies","asia-southeast1",0.023,500,"GB/Month",11.50,11.50,11.50,672.75,672.75,8073.00,"Dedicated repository for PDF bill drafts; synchronizes enrolled copies to SYS-02 DMS via Super-App bus"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","Artificial Intelligence","Vertex AI - Gemini 2.5 Pro","Automated Bill Version Redlining, Constitutional Review & Precedent Checker (10M In / 2M Out tokens)","asia-southeast1",32.50,1,"Token Pool/Month",32.50,32.50,32.50,1901.25,1901.25,22815.00,"Assists LOD and Committee Secretaries in comparing bill amendments and detecting legal conflicts"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Application Compute","Cloud Run","Enterprise Document Ingestion, Metadata Indexing & Full-Text Search Service (2 vCPU, 4 GiB RAM)","asia-southeast1",45.00,1,"Service Allocation",45.00,33.75,28.35,2632.50,1974.38,23692.50,"Dedicated document microservice; exposes REST/gRPC search endpoints to UGNAYAN Super-App shell"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Relational & Vector DB","Cloud SQL for PostgreSQL Enterprise HA","Dedicated Regional HA Instance db-custom-2-7680 (2 vCPU, 7.5 GB RAM) with pgvector Semantic Index","asia-southeast1",278.90,1,"Instance/Month",278.90,198.02,153.39,16315.65,11584.17,139010.04,"Dedicated database storing document taxonomies, access ACLs, version trees & vector embeddings"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Database Storage","Cloud SQL PD-SSD HA Storage & PITR Backups","150 GB Regional PD-SSD HA + 150 GB Automated Backups (sized for pgvector HNSW indices)","asia-southeast1",0.435,150,"GB/Month",65.25,65.25,65.25,3817.13,3817.13,45805.50,"High-IOPS SSD storage for sub-50ms semantic vector similarity searches across millions of pages"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Object Storage (Hot)","Google Cloud Storage (Standard Tier)","Dedicated Bucket (hrep-dms-active-prod) - 3,000 GB (3 TB) Active Departmental Files & Memos","asia-southeast1",0.023,3000,"GB/Month",69.00,69.00,69.00,4036.50,4036.50,48438.00,"Replaces legacy Housedocs, Globodox & scattered Google Drives across 12 Secretariat offices"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Object Storage (Warm)","Google Cloud Storage (Nearline Tier)","Dedicated Bucket (hrep-dms-nearline-prod) - 3,000 GB (3 TB) Prior Congress & Inactive Files","asia-southeast1",0.013,3000,"GB/Month",39.00,39.00,39.00,2281.50,2281.50,27378.00,"Automated 90-day lifecycle transition from Standard tier; transfers archival records to SYS-03 RMS"
"SYS-02","Housedocs Modernization: Document Management System (DMS)","Artificial Intelligence","Vertex AI - Gemini 2.5 Flash Multimodal","High-Speed Document OCR, Auto-Tagging & Vector Embedding Generation (50,000 pages/mo = 60M In / 15M Out)","asia-southeast1",18.00,1,"Token Pool/Month",18.00,18.00,18.00,1053.00,1053.00,12636.00,"Extracts text and metadata from scanned legacy memos and routing slips at 97% lower cost than legacy OCR"
"SYS-03","HRep Archives: Records Management System (RMS)","Application Compute","Cloud Run","Archival Accessioning, NAP Retention Scheduler & Digital Preservation Worker (1 vCPU, 2 GiB RAM)","asia-southeast1",22.00,1,"Service Allocation",22.00,16.50,13.86,1287.00,965.25,11583.00,"Dedicated records management service; receives permanent transfers from SYS-01 LODS and SYS-02 DMS"
"SYS-03","HRep Archives: Records Management System (RMS)","Relational Database","Cloud SQL for PostgreSQL Enterprise Zonal","Dedicated Zonal Instance db-custom-1-3840 (1 vCPU, 3.75 GB RAM) - Archival Holdings & NAP Disposition DB","asia-southeast1",69.73,1,"Instance/Month",69.73,49.51,38.35,4079.21,2896.34,34756.02,"Dedicated database tracking physical box barcodes, vault locations, and NAP disposal schedules"
"SYS-03","HRep Archives: Records Management System (RMS)","Database Storage","Cloud SQL PD-SSD Zonal Storage & Backups","50 GB Zonal PD-SSD ($0.17/GB) + 50 GB Automated Backups ($0.095/GB)","asia-southeast1",0.265,50,"GB/Month",13.25,13.25,13.25,775.13,775.13,9301.50,"Stores immutable SHA-256 checksum manifests and archival catalogs"
"SYS-03","HRep Archives: Records Management System (RMS)","Object Storage (WORM)","Google Cloud Storage (Archive Tier WORM)","Dedicated Bucket (hrep-rms-nap-archive) - 5,000 GB (5 TB) Immutable Bucket Lock (Write-Once-Read-Many)","asia-southeast1",0.0025,5000,"GB/Month",12.50,12.50,12.50,731.25,731.25,8775.00,"Ultra-low-cost permanent digital preservation compliant with National Archives of the Philippines statutes"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Application Compute","Cloud Run","Master Scheduling Engine, CalDAV Server & Google Calendar Two-Way Sync Service (1 vCPU, 2 GiB RAM)","asia-southeast1",25.00,1,"Service Allocation",25.00,18.75,15.75,1462.50,1096.88,13162.50,"Dedicated scheduling microservice; publishes committee room bookings to Super-App Action Center"
