"System_ID","System_Name","Traffic_Profile_at_100K_Weekly_Users","Dedicated_Compute_USD","Dedicated_Database_and_Replicas_USD","Dedicated_Storage_and_CDN_USD","AI_Cache_WAF_Network_USD","Monthly_On_Demand_USD","Monthly_1Yr_CUD_USD","Monthly_3Yr_CUD_USD","Monthly_On_Demand_PHP","Monthly_1Yr_CUD_PHP","Annual_1Yr_CUD_PHP","High_Scale_Architecture_Specs_100K_Users_Per_Week"
"SYS-00","UGNAYAN Super-App Hub (Control Plane, WAF, CDN & Gateway)","100,000 weekly active users (~10M API calls/mo, 3.5 TB CDN egress)",195.00,572.24,280.00,598.30,1645.54,1325.40,1115.20,96264.09,77535.90,930430.80,"Global HTTPS LB, Cloud Armor Managed DDoS/WAF, 3.5TB Cloud CDN Edge Cache, 4-vCPU Postgres HA, 5GB Redis M3 HA, Gemini Flash Concierge"
"SYS-01","Batas-Bayan: Legislative Operations Digital System (LODS)","High Public Traffic (~45,000 weekly citizens/lawyers tracking bills & votes)",185.00,858.36,35.00,145.77,1224.13,935.20,768.40,71611.61,54709.20,656510.40,"4-vCPU Postgres HA Primary + 2-vCPU Read Replica for public bill queries, 4x Warm WebSocket Servers, Dedicated 2GB Redis, Gemini 2.5 Pro"
"SYS-02","Housedocs Modernization: Enterprise Document Management (DMS)","High Public & Staff Search (~50,000 weekly searches across 6TB repository)",140.00,880.11,165.00,72.00,1257.11,982.50,819.30,73540.94,57476.25,689715.00,"4-vCPU Postgres HA + 2-vCPU pgvector Read Replica, 5TB Standard + 5TB Nearline GCS, Gemini 2.5 Flash High-Volume OCR & Semantic Search"
"SYS-03","HRep Archives: Records Management System (RMS)","Internal & Researcher Archival Access (~3,000 weekly queries)",35.00,152.71,25.00,0.00,212.71,164.80,138.50,12443.54,9640.80,115689.60,"2-vCPU Postgres Zonal, 10TB GCS Archive WORM Immutable Storage (NAP Compliant), Automated Preservation Checksum Worker"
"SYS-04","Kumberso-Sked: Shared Calendar & Room Scheduling","Public Committee Schedule Viewers & Staff (~15,000 weekly views)",45.00,147.41,5.00,0.00,197.41,148.90,121.40,11548.49,8710.65,104527.80,"2-vCPU Postgres Zonal, Cached Public Committee Hearing Schedules via CDN, CalDAV Sync Engine"
"SYS-05","HRep e-Request Portal: Constituent & Internal Service Requests","High Constituent Traffic (~25,000 tickets/week across 315 district offices)",160.00,572.24,18.00,48.50,798.74,605.40,498.20,46726.29,35415.90,424990.80,"4-vCPU Postgres HA (100k tickets/mo), 4x Warm JSONB Form Servers, 750GB GCS Attachments, Gemini 2.5 Flash ADK Triage (100k reqs/mo)"
"SYS-06","Batasan Pass (VAMS): Visitor & Constituent Access Management","High Visitor Volume (~20,000 visitors/week pre-registering for Batasan complex)",150.00,572.24,12.00,85.00,819.24,628.10,519.80,47925.54,36743.85,440926.20,"4-vCPU Postgres HA, High-Concurrency Gate Turnstile QR Validator Pool, 300GB GCS (30-day DPA purge), High-Volume SMS/Email Pass Gateway"
"SYS-07","Lakbay-Kongreso: Travel Management System (TMS)","Internal Parliamentary & Secretariat Delegations (~2,500 weekly users)",48.00,278.90,9.20,18.60,354.70,272.40,226.50,20749.95,15935.40,191224.80,"2-vCPU Postgres HA, EO 77 / UNDP DSA Per Diem Engine, 400GB CMEK Encrypted Passport Vault, Gemini Flash COA Receipt OCR"
"SYS-08","Lingkod-Kawani: HR & Attendance Management (DTR)","Internal Plantilla & District Staff (~4,000 daily biometric/geofence users)",65.00,322.40,11.50,0.00,398.90,301.20,248.10,23335.65,17620.20,211442.40,"2-vCPU Postgres HA, Biometric TCP Receiver Pool, Mobile Geofence Attendance Validator, CSC Form 48 PDF Engine"
"SYS-09","Target-Kongreso: Planning, Monitoring & Evaluation (SPMS)","Internal Department & Staff Performance Reviews (~3,500 users)",32.00,80.33,5.75,0.00,118.08,89.50,74.20,6907.68,5235.75,62829.00,"1-vCPU Postgres Zonal, OPCR/DPCR/IPCR Calibration Engine, 250GB MOV Portfolios"
"SYS-10","Asset-Track: Property, Plant & Equipment Inventory (PPE)","Internal Logistics & Property Custodians (~2,000 users)",38.00,82.98,6.90,0.00,127.88,97.80,81.60,7480.98,5721.30,68655.60,"1-vCPU Postgres Zonal, RFID/Barcode Scanner API, COA Straight-Line Depreciation Engine"
"SYS-11","Kongreso Academy: Learning Management & Public Civic Ed (LMS)","Internal Staff + Public Civic Courses (~12,000 weekly learners)",65.00,147.41,145.00,0.00,357.41,298.50,265.40,20908.49,17462.25,209547.00,"2-vCPU Postgres Zonal, SCORM/xAPI Runtime, 2TB HD Video Courseware + High-Volume Cloud CDN Video Streaming"
"SYS-12","Executive Command Center: Live Monitoring Wallboard","Speaker, SecGen & Department Heads Real-Time Telemetry",45.00,147.41,0.00,35.77,228.18,175.40,144.80,13348.53,10260.90,123130.80,"2-vCPU Postgres Zonal Telemetry DB, Dedicated 1GB Redis Pub/Sub Broadcaster, Sub-Second Complex & SLA Heatmap Wallboards"
"SYS-13","Lingkod-Dinig AI: AI-Assisted Transcription & Public Live Captions","Plenary, 60+ Committees & Public Townhalls (500 audio hours/mo + live stream)",85.00,278.90,57.50,592.50,1013.90,912.40,858.20,59313.15,53375.40,640504.80,"2-vCPU Postgres HA, Chirp 2 STT (500 hrs/mo = 30,000 mins @ $480), Gemini 2.5 Pro Minutes & Public Summary Synthesis ($112.50), 2.5TB Audio GCS"
